Book Name,Author,Rating,Customers_Rated,Price
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,4.4 out of 5 stars,"1,919",$13.50
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"49,595",$4.44
Will,Will Smith,-1,0,$23.99
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"26,963",$7.79
Project Hail Mary: A Novel,Andy Weir,4.7 out of 5 stars,"14,676",$16.99
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"25,969",$9.99
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"35,947",$1.25
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.6 out of 5 stars,"18,663",$8.05
The Song of Achilles: A Novel,Madeline Miller,4.7 out of 5 stars,"22,367",$5.36
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"13,527",$8.37
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8 out of 5 stars,"15,390",$5.01
Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5 out of 5 stars,"3,831",$18.00
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"78,728",$14.03
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7 out of 5 stars,"60,175",$2.28
Golden Girl,Elin Hilderbrand,4.6 out of 5 stars,"3,621",$17.40
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"51,770",$1.49
Untamed,Glennon Doyle,4.6 out of 5 stars,"50,549",$6.29
